"#bbffff","#bbffff","paleturquoise1","faalturkoois1"
"#aeeeee","#aeeeee","paleturquoise2","faalturkoois2"
"#96cdcd","#96cdcd","paleturquoise3","faalturkoois3"
"#668b8b","#668b8b","paleturquoise4","faalturkoois4"
"#97ffff","#97ffff","darkslategray1","donkerleigrijs1"
"#8deeee","#8deeee","darkslategray2","donkerleigrijs2"
"#79cdcd","#79cdcd","darkslategray3","donkerleigrijs3"
"#528b8b","#528b8b","darkslategray4","donkerleigrijs4"
"#f0ffff","#f0ffff","azure","azuur"
"#e0eeee","#e0eeee","azure2","azuur2"
"#c1cdcd","#c1cdcd","azure3","azuur3"
"#838b8b","#838b8b","azure4","azuur4"
"#e0ffff","#e0ffff","lightcyan","lichtcyaan"
"#d1eeee","#d1eeee","lightcyan2","lichtcyaan2"
"#b4cdcd","#b4cdcd","lightcyan3","lichtcyaan3"
"#7a8b8b","#7a8b8b","lightcyan4","lichtcyaan4"
"#00ffff","#00ffff","cyan","cyaan"
"#00eeee","#00eeee","cyan2","cyaan2"
"#00cdcd","#00cdcd","cyan3","cyaan3"
"#008b8b","#008b8b","cyan4","cyaan4"
"#008b8b","#008b8b","darkcyan","donkercyaan"
"#5f9ea0","#5f9ea0","cadetblue","ijsblauw"
"#98f5ff","#98f5ff","cadetblue1","ijsblauw1"
"#8ee5ee","#8ee5ee","cadetblue2","ijsblauw2"
"#7ac5cd","#7ac5cd","cadetblue3","ijsblauw3"
"#52868b","#52868b","cadetblue4","ijsblauw4"
"#b0e0e6","#b0e0e6","powderblue","ijsblauw"
"#add8e6","#add8e6","lightblue","lichtblauw"
"#bfefff","#bfefff","lightblue1","lichtblauw1"
"#b2dfee","#b2dfee","lightblue2","lichtblauw2"
"#9ac0cd","#9ac0cd","lightblue3","lichtblauw3"
"#68838b","#68838b","lightblue4","lichtblauw4"
"#f0f8ff","#f0f8ff","aliceblue","aliceblauw"
"#87cefa","#87cefa","lightskyblue","lichthemelsblauw"
"#b0e2ff","#b0e2ff","lightskyblue1","lichthemelsblauw1"
"#a4d3ee","#a4d3ee","lightskyblue2","lichthemelsblauw2"
"#8db6cd","#8db6cd","lightskyblue3","lichthemelsblauw3"
"#607b8b","#607b8b","lightskyblue4","lichthemelsblauw4"
"#87ceff","#87ceff","skyblue","hemelsblauw"
"#7ec0ee","#7ec0ee","skyblue2","hemelsblauw2"
"#6ca6cd","#6ca6cd","skyblue3","hemelsblauw3"
"#4a708b","#4a708b","skyblue4","hemelsblauw4"
"#00bfff","#00bfff","deepskyblue","diephemelsblauw"
"#00b2ee","#00b2ee","deepskyblue2","diephemelsblauw2"
"#009acd","#009acd","deepskyblue3","diephemelsblauw3"
"#00688b","#00688b","deepskyblue4","diephemelsblauw4"
"#4682b4","#4682b4","steelblue","staalblauw"
"#63b8ff","#63b8ff","steelblue1","staalblauw1"
"#5cacee","#5cacee","steelblue2","staalblauw2"
"#4f94cd","#4f94cd","steelblue3","staalblauw3"
"#36648b","#36648b","steelblue4","staalblauw4"
"#1e90ff","#1e90ff","dodgerblue","poederblauw"
"#1c86ee","#1c86ee","dodgerblue2","poederblauw2"
"#1874cd","#1874cd","dodgerblue3","poederblauw3"
